"","pollutant_id","pollutant_averaging","date","pollutant_value","pollutant_unit","station_id","X","Y","ID_estacion","method_id"
"45","NO2",1,2021-01-02 20:00:00,10,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"46","NO2",1,2021-01-02 21:00:00,16,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"47","NO2",1,2021-01-02 22:00:00,21,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"48","NO2",1,2021-01-02 23:00:00,20,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"49","NO2",1,2021-01-03 00:00:00,13,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"50","NO2",1,2021-01-03 01:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"51","NO2",1,2021-01-03 02:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"52","NO2",1,2021-01-03 03:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"53","NO2",1,2021-01-03 04:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"54","NO2",1,2021-01-03 05:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"55","NO2",1,2021-01-03 06:00:00,8,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"56","NO2",1,2021-01-03 07:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"57","NO2",1,2021-01-03 08:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"58","NO2",1,2021-01-03 09:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
